2026/07/22 02:16:57.251, P0, 1920 MHz, 54.56 W, 7196 MiB, 99 %
2026/07/22 02:17:02.283, P0, 1845 MHz, 54.73 W, 7196 MiB, 100 %
2026/07/22 02:17:07.321, P0, 1950 MHz, 47.89 W, 7196 MiB, 97 %
2026/07/22 02:17:12.355, P0, 1800 MHz, 51.97 W, 7196 MiB, 100 %
2026/07/22 02:17:17.391, P0, 2490 MHz, 46.82 W, 7196 MiB, 0 %
2026/07/22 02:17:22.425, P3, 1890 MHz, 13.23 W, 7196 MiB, 0 %
2026/07/22 02:17:27.450, P3, 2085 MHz, 14.06 W, 15 MiB, 0 %
2026/07/22 02:17:32.476, P8, 210 MHz, 5.41 W, 15 MiB, 0 %
2026/07/22 02:17:37.509, P8, 210 MHz, 5.19 W, 15 MiB, 0 %
2026/07/22 02:17:42.540, P8, 210 MHz, 5.09 W, 15 MiB, 0 %
2026/07/22 02:17:47.571, P8, 210 MHz, 5.01 W, 15 MiB, 0 %
2026/07/22 02:17:52.604, P8, 210 MHz, 4.96 W, 15 MiB, 0 %
2026/07/22 02:17:57.635, P8, 210 MHz, 4.92 W, 15 MiB, 0 %
2026/07/22 02:18:02.665, P8, 210 MHz, 4.88 W, 15 MiB, 0 %
 Idle : Active; SW Power Cap : Not Active; SW Power Capping : 1598979725 us;
